ID,都道府県,JPRA-ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude
1,埼玉県,110001,,A-61号遺跡,,,35.90388889,139.6608333
2,埼玉県,110002,,A-61号遺跡,第２次調査,Ⅶ下部,35.90388889,139.6608333
3,埼玉県,110003,,A-69号遺跡,,,35.91416667,139.6475
4,埼玉県,110004,,会ノ谷遺跡,第３次,,35.87416667,139.6966667
5,埼玉県,110005,,会ノ谷遺跡,第４次,,35.87416667,139.6966667
6,埼玉県,110006,,会ノ谷遺跡,,ローム層中,35.87416667,139.6966667
7,埼玉県,110007,,相野谷１号遺跡,,Ⅴ,35.87694444,139.6144444
8,埼玉県,110008,,B-13号遺跡,,,35.91944444,139.6369444
9,埼玉県,110009,,B-22号（土呂陣屋跡）遺跡,J地点,,35.93055556,139.6375
10,埼玉県,110010,,B-53号遺跡,,Ⅳ～Ⅶ,35.93388889,139.6022222
11,埼玉県,110011,,B-53号遺跡,,Ⅲ,35.93388889,139.6022222
12,埼玉県,110012,,C-66号遺跡,,Ⅴ,35.91833333,139.5911111
13,埼玉県,110013,,梅所遺跡,,Ⅳ～Ⅴ,35.87722222,139.6966667
14,埼玉県,110014,,梅所南遺跡,,Ⅲ下部,35.87361111,139.7002778
15,埼玉県,110015,,馬場東遺跡,第５区,Ⅲ下層～Ⅳ,35.88972222,139.6883333
16,埼玉県,110016,,馬場東遺跡,第12区,Ⅳ,35.88972222,139.6883333
17,埼玉県,110017,,馬場北遺跡,,Ⅳ～Ⅴ,35.88861111,139.6841667
18,埼玉県,110018,,馬場北遺跡,J地点,Ⅳ～Ⅴ,35.88861111,139.6841667
19,埼玉県,110019,,馬場北遺跡,第7区,Ⅳ,35.88861111,139.6841667
20,埼玉県,110020,,馬場北遺跡,,Ⅲ下層～Ⅳ,35.88861111,139.6841667
21,埼玉県,110021,,馬場北遺跡,第5区,Ⅳ～Ⅴ,35.88861111,139.6841667
22,埼玉県,110022,,馬場北遺跡,第７次,Ⅳ下～Ⅴ上,35.88861111,139.6841667
23,埼玉県,110023,,馬場北遺跡,第16次　第27Ａ区,Ⅲ下部～Ⅳ上部,35.88861111,139.6841667
24,埼玉県,110024,,馬場北遺跡,第16次　第27Ｂ区,Ⅲ～Ⅳ,35.88861111,139.6841667
25,埼玉県,110025,,馬場小室山遺蹟,第105区,,35.88472222,139.6858333
26,埼玉県,110026,,馬場小室山遺蹟,第29次,Ⅲ～Ⅳ,35.88472222,139.6858333
27,埼玉県,110027,,別所子野上遺跡,第５次,Ⅲ～Ⅴ,35.85555556,139.6427778
28,埼玉県,110028,,別所西野台遺跡,,Ⅲ上面,35.85083333,139.6430556
29,埼玉県,110029,,C-23号遺跡,,,35.93638889,139.5822222
30,埼玉県,110030,,C-26号遺跡,,Ⅲ～Ⅳ,35.92888889,139.5575
31,埼玉県,110031,,C-66号遺跡,,Ⅲ～Ⅳ上面,35.91833333,139.5911111
32,埼玉県,110032,,台耕地南遺跡,,ローム層最上層,35.88972222,139.605
33,埼玉県,110033,,海老沼南遺跡,,,35.90777778,139.6422222
34,埼玉県,110034,,えんぎ山遺跡,,,35.88888889,139.7113889
35,埼玉県,110035,,不動谷遺跡,第３次,,35.87638889,139.6836111
36,埼玉県,110036,,不動谷遺跡,第４次,Ⅲ～Ⅳ,35.87361111,139.6780556
37,埼玉県,110037,,不動谷遺跡,第４次,Ⅲ,35.87361111,139.6780556
38,埼玉県,110038,,不動谷遺跡,第７次,Ⅲ～Ⅵ,35.87416667,139.68
39,埼玉県,110039,,深作原遺跡,第２次調査,Ⅲ～Ⅴ,35.95333333,139.6577778
40,埼玉県,110040,,深作稲荷台遺跡,第２・３次,Ⅲ～Ⅶ,35.94722222,139.665
41,埼玉県,110041,,玄蕃新田本田遺跡,第３次,Ⅲ～Ⅴ,35.89055556,139.7133333
42,埼玉県,110042,,玄蕃新田本田遺跡,第３次,,35.89055556,139.7133333
43,埼玉県,110043,,行谷遺跡,第３次,,35.88194444,139.7355556
44,埼玉県,110044,,行谷遺跡,第５次,,35.88194444,139.7355556
45,埼玉県,110045,,原遺跡,,Ⅲ,35.9,139.5911111
46,埼玉県,110046,,原山東原遺跡,第２次,,35.87027778,139.6672222
47,埼玉県,110047,,原山東原遺跡,第４次,Ⅴ,35.87027778,139.6672222
48,埼玉県,110048,,東高砂遺跡,,,35.85888889,139.6586111
49,埼玉県,110049,,東高砂北遺跡,,Ⅲ,35.85888889,139.6580556
50,埼玉県,110050,,東裏遺跡,第３次,Ⅳ～Ⅴ,35.88638889,139.7322222
51,埼玉県,110051,,東裏西遺跡,,不明,35.85583333,139.6775
52,埼玉県,110052,,東裏西遺跡,,,35.85583333,139.6775
53,埼玉県,110053,,東北原遺跡,９次,,35.95416667,139.6375
54,埼玉県,110054,,氷川神社東遺跡,,第Ⅰ文化層　Ⅱ～Ⅲ,35.91722222,139.6322222
55,埼玉県,110055,,氷川神社東遺跡,,第Ⅱ文化層　Ⅳ～Ⅴ,35.91722222,139.6322222
56,埼玉県,110056,,氷川神社東遺跡,,,35.91722222,139.6322222
57,埼玉県,110057,,日向北遺跡,第２次,,35.87666667,139.6844444
58,埼玉県,110058,,広ヶ谷戸稲荷越遺跡,第５次,,35.86638889,139.6836111
59,埼玉県,110059,,本田遺跡,南側調査区,Ⅲ～Ⅴ,35.89027778,139.7119444
60,埼玉県,110060,,本杢遺跡,第４地点,,35.86583333,139.6238889
61,埼玉県,110061,,稲荷越遺跡,第２次,Ⅲ,35.86305556,139.6844444
62,埼玉県,110062,,井沼方馬堤遺跡,,第Ⅳ・Ⅴ層,35.86416667,139.6955556
63,埼玉県,110063,,井沼方遺跡,,,35.8625,139.6975
64,埼玉県,110064,,井沼方遺跡,,Ⅲ,35.8625,139.6975
65,埼玉県,110065,,井沼方遺跡,第14次,,35.8625,139.6975
66,埼玉県,110066,,井沼方遺跡,第28次,,35.8625,139.6975
67,埼玉県,110067,,一ツ木遺跡,,,35.84611111,139.6663889
68,埼玉県,110068,,上太寺遺跡,,,35.87083333,139.6358333
69,埼玉県,110069,,高台山遺跡,,,35.95111111,139.6286111
70,埼玉県,110070,,鎌倉公園遺跡,,,35.90388889,139.6661111
71,埼玉県,110071,,上木崎三丁目遺跡,,,35.88888889,139.6436111
72,埼玉県,110072,,上野田西台遺跡,,Ⅳ,35.90833333,139.6947222
73,埼玉県,110073,,上ノ宮遺跡,第２次,Ⅱ～Ⅲ,35.85527778,139.6344444
74,埼玉県,110074,,関東遺跡,,,35.8975,139.6144444
75,埼玉県,110075,,片柳下組遺跡,,,35.89833333,139.6563889
76,埼玉県,110076,,北宿遺跡,第３地点,Ⅵ,35.89055556,139.6805556
77,埼玉県,110077,,北宿遺跡,第３地点,,35.89055556,139.6805556
78,埼玉県,110078,,北宿遺跡,,Ⅳ～Ⅴ,35.89055556,139.6805556
79,埼玉県,110079,,北宿遺跡,第７地点,,35.89055556,139.6805556
80,埼玉県,110080,,北宿遺跡,第10区,,35.89055556,139.6805556
81,埼玉県,110081,,北宿遺跡,第９地点,,35.89055556,139.6805556
82,埼玉県,110082,,北宿遺跡,第12地点,,35.89055556,139.6805556
83,埼玉県,110083,,北宿遺跡,第20地点,,35.89055556,139.6805556
84,埼玉県,110084,,北宿遺跡,,,35.89055556,139.6805556
85,埼玉県,110085,,北宿遺跡,第17次,Ⅲ～Ⅳ,35.89055556,139.6805556
86,埼玉県,110086,,北宿遺跡,第17次,,35.89055556,139.6805556
87,埼玉県,110087,,北宿南遺跡,,,35.88777778,139.6780556
88,埼玉県,110088,,北宿西遺跡,,Ⅳ・Ⅴ,35.88611111,139.6738889
89,埼玉県,110089,,北宿西遺跡,,Ⅳ上,35.88611111,139.6738889
90,埼玉県,110090,,北宿西遺跡,,Ⅵ,35.88611111,139.6738889
91,埼玉県,110091,,北宿西遺跡,,,35.88611111,139.6738889
92,埼玉県,110092,,北宿西遺跡,,,35.88611111,139.6738889
93,埼玉県,110093,,北宿西遺跡,第２次,Ⅲ～Ⅳ,35.88611111,139.6738889
94,埼玉県,110094,,北宿西遺跡,第２次,,35.88611111,139.6738889
95,埼玉県,110095,,小深作前遺跡,,,35.9425,139.6666667
96,埼玉県,110096,,駒形北遺跡,,Ⅶ,35.87361111,139.6769444
97,埼玉県,110097,,駒形北遺跡,,Ⅲ,35.87361111,139.6769444
98,埼玉県,110098,,駒形北遺跡,第２次,,35.87583333,139.6827778
99,埼玉県,110099,,駒形南遺跡,第１・２次,Ⅲ～Ⅴ,35.87194444,139.6852778
100,埼玉県,110100,,駒形南遺跡,第１・２次,,35.87194444,139.6852778
101,埼玉県,110101,,駒前遺跡,第３次,,35.87555556,139.6797222
102,埼玉県,110102,,駒前南遺跡,,Ⅲ～Ⅳ,35.87388889,139.6808333
103,埼玉県,110103,,今羽丸山遺跡,,,35.95222222,139.6222222
104,埼玉県,110104,,椚谷遺跡,第12次,Ⅳ下部,35.87861111,139.7341667
105,埼玉県,110105,,椚谷遺跡,第10次,,35.87861111,139.7341667
106,埼玉県,110106,,椚谷遺跡,第３次,Ⅲ～Ⅳ上部,35.87861111,139.7341667
107,埼玉県,110107,,椚谷遺跡,第３次,,35.87861111,139.7341667
108,埼玉県,110108,,椚谷遺跡,第５次,,35.87861111,139.7341667
109,埼玉県,110109,,黒谷田端前遺跡,,,35.92138889,139.7219444
110,埼玉県,110110,,真土3号遺跡,,,35.87361111,139.6202778
111,埼玉県,110111,,前窪西遺跡,,Ⅲ最上部,35.88555556,139.6630556
112,埼玉県,110112,,間宮宮後遺跡,,Ⅳ～Ⅴ,35.88555556,139.7197222
113,埼玉県,110113,,間宮宮後遺跡,,Ⅲ,35.88555556,139.7197222
114,埼玉県,110114,,間宮宮後遺跡,,Ⅲ,35.88555556,139.7197222
115,埼玉県,110115,,松木遺跡,,Ⅲ～Ⅴ,35.8825,139.6891667
116,埼玉県,110116,,松木遺跡,第７区,Ⅳ,35.8825,139.6891667
117,埼玉県,110117,,松木遺跡,第13区,Ⅳ上面,35.8825,139.6891667
118,埼玉県,110118,,松木遺跡,,Ⅲ～Ⅳ中,35.8825,139.6891667
119,埼玉県,110119,,松木遺跡,第５次　第12Ａ区,Ⅴ,35.8825,139.6891667
120,埼玉県,110120,,松木遺跡,第５次　第12Ａ区,Ⅲ下部～Ⅳ,35.8825,139.6891667
121,埼玉県,110121,,松木遺跡,第５次　第12Ｂ区,,35.8825,139.6891667
122,埼玉県,110122,,松木遺跡,第７次,Ⅳ～Ⅴ,35.8825,139.6891667
123,埼玉県,110123,,松木遺跡,第９次,Ⅴ～Ⅶ,35.8825,139.6891667
124,埼玉県,110124,,松木遺跡,第９次,Ⅳ,35.8825,139.6891667
125,埼玉県,110125,,松木遺跡,第22区,,35.8825,139.6891667
126,埼玉県,110126,,松木遺跡,第27Ｂ区,,35.8825,139.6891667
127,埼玉県,110127,,松木遺跡,第20区,,35.8825,139.6891667
128,埼玉県,110128,,御蔵台遺跡,,Ⅲ～Ⅴ,35.90888889,139.6616667
129,埼玉県,110129,,御蔵台遺跡,,,35.90888889,139.6616667
130,埼玉県,110130,,御蔵山中遺跡,２次,Ⅲ～Ⅴ,35.90638889,139.6641667
131,埼玉県,110131,,御蔵山中遺跡,２次,,35.90638889,139.6641667
132,埼玉県,110132,,三室遺跡,,,35.88361111,139.6816667
133,埼玉県,110133,,三室遺跡,第28区　,,35.88361111,139.6816667
134,埼玉県,110134,,三室西宿南遺跡,第２区,Ⅲ～Ⅴ,35.87944444,139.6725
135,埼玉県,110135,,三室西宿南遺跡,第９区,Ⅲ～Ⅳ,35.87944444,139.6725
136,埼玉県,110136,,三室西宿南遺跡,第２次,,35.87944444,139.6725
137,埼玉県,110137,,南宿北遺跡,,Ⅲ,35.88166667,139.6794444
138,埼玉県,110138,,南宿北遺跡,,Ⅳ～Ⅴ,35.88166667,139.6794444
139,埼玉県,110139,,南宿北遺跡,,,35.88166667,139.6794444
140,埼玉県,110140,,南中丸下高井遺跡,,Ⅲ,35.91027778,139.6505556
141,埼玉県,110141,,南中丸下高井遺跡,,Ⅳ,35.91027778,139.6505556
142,埼玉県,110142,,南中野諏訪遺跡,,Ⅳ～Ⅴ,35.90583333,139.6577778
