都道府県,ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude,時期区分
東京都,130370,,大ヶ谷戸遺跡,,A区,35.69666667,139.6230556,3
東京都,130371,,大ヶ谷戸遺跡,,B区Ⅵ層,35.69666667,139.6230556,0
東京都,130372,,大ヶ谷戸遺跡,,B区Ⅸ層,35.69666667,139.6230556,0
東京都,130373,,日性寺B遺跡,,～Ⅲ層,35.68888889,139.6288889,1
東京都,130374,,地蔵坂遺跡,,第Ⅲ層文化,35.71083333,139.5963889,1
東京都,130375,,地蔵坂遺跡,,第Ⅳ層文化,35.71083333,139.5963889,1
東京都,130376,,柿ノ木山遺跡,,,35.72694444,139.6111111,4
東京都,130377,,鎌倉橋上遺跡,A地点,第Ⅸ～Ⅶ層文化,35.67638889,139.6277778,0
東京都,130378,,鎌倉橋上遺跡,A地点,第Ⅲ層文化,35.67638889,139.6277778,1
東京都,130379,,鎌倉橋上遺跡,A地点,A区再堆積,35.67638889,139.6277778,0
東京都,130380,,鎌倉橋上遺跡,A地点,B区再堆積,35.67638889,139.6277778,1
東京都,130381,,高千穂大学大宮遺跡,第2地点,Ⅴ層上部,35.68194444,139.6386111,0
東京都,130382,,堂ノ上遺跡,,Ⅹa層,35.6775,139.6255556,1
東京都,130383,,染井遺跡,三菱養和会地区,161p,35.73611111,139.7391667,1
東京都,130384,,染井遺跡,駒込小学校地区,,35.73833333,139.7427778,0
東京都,130385,,巣鴨遺跡,斉藤ビル地区,,35.73694444,139.7333333,1
東京都,130386,,東池袋遺跡,東池袋四丁目再開発事業地区,第Ⅰ文化層,35.72694444,139.7183333,1
東京都,130387,,東池袋遺跡,東池袋四丁目再開発事業地区,第Ⅱ文化層,35.72694444,139.7183333,0
東京都,130388,,赤羽台遺跡,八幡神社地区,第1文化層,35.78305556,139.7166667,0
東京都,130389,,赤羽台遺跡,八幡神社地区,第2文化層,35.78305556,139.7166667,1
東京都,130390,,赤羽台遺跡,八幡神社地区,第3文化層,35.78305556,139.7166667,1
東京都,130391,,赤羽台遺跡,八幡神社地区,第4文化層,35.78305556,139.7166667,0
東京都,130392,,赤羽台遺跡,八幡神社地区,第5文化層,35.78305556,139.7166667,0
東京都,130393,,赤羽台遺跡,星美学園地区G区,第1文化層,35.78416667,139.7141667,0
東京都,130394,,赤羽台遺跡,星美学園地区A区,第2文化層,35.78388889,139.7166667,0
東京都,130395,,赤羽台遺跡,星美学園地区,遺構覆土等,35.78416667,139.7141667,1
東京都,130396,,赤羽台遺跡,国立王子病院跡地地区,第1文化層,35.78361111,139.7113889,0
東京都,130397,,赤羽台遺跡,国立王子病院跡地地区,第2文化層,35.78361111,139.7113889,1
東京都,130398,,赤羽台遺跡,国立王子病院跡地地区,第3文化層,35.78361111,139.7113889,0
