ID,都道府県,JPRAID,遺跡群名,遺跡名,地点地区名,文化層石器文化,所在地,Latitude,Longitude,時期区分
3,埼玉県,110003,,A-69号遺跡,,,さいたま市見沼区南中丸,35.91416667,139.6475,1
4,埼玉県,110004,,会ノ谷遺跡,第３次,,さいたま市緑区大字大間木,35.87416667,139.6966667,1
9,埼玉県,110009,,B-22号（土呂陣屋跡）遺跡,J地点,,さいたま市北区土呂町２丁目,35.93055556,139.6375,1
10,埼玉県,110010,,B-53号遺跡,,Ⅳ～Ⅶ,さいたま市北区日進町,35.93388889,139.6022222,1
13,埼玉県,110013,,梅所遺跡,,Ⅳ～Ⅴ,さいたま市緑区大字大牧,35.87722222,139.6966667,1
14,埼玉県,110014,,梅所南遺跡,,Ⅲ下部,さいたま市緑区大字大間木,35.87361111,139.7002778,1
21,埼玉県,110021,,馬場北遺跡,第5区,Ⅳ～Ⅴ,さいたま市緑区大字三室,35.88861111,139.6841667,1
22,埼玉県,110022,,馬場北遺跡,第７次,Ⅳ下～Ⅴ上,さいたま市緑区大字三室,35.88861111,139.6841667,1
24,埼玉県,110024,,馬場北遺跡,第16次　第27Ｂ区,Ⅲ～Ⅳ,さいたま市緑区大字三室,35.88861111,139.6841667,1
28,埼玉県,110028,,別所西野台遺跡,,Ⅲ上面,さいたま市南区別所２丁目,35.85083333,139.6430556,1
29,埼玉県,110029,,C-23号遺跡,,,さいたま市西区清河寺,35.93638889,139.5822222,1
30,埼玉県,110030,,C-26号遺跡,,Ⅲ～Ⅳ,さいたま市西区峰岸　,35.92888889,139.5575,1
31,埼玉県,110031,,C-66号遺跡,,Ⅲ～Ⅳ上面,さいたま市西区三橋6丁目,35.91833333,139.5911111,1
32,埼玉県,110032,,台耕地南遺跡,,ローム層最上層,さいたま市大宮区三橋４丁目,35.88972222,139.605,1
35,埼玉県,110035,,不動谷遺跡,第３次,,さいたま市緑区中尾,35.87638889,139.6836111,1
36,埼玉県,110036,,不動谷遺跡,第４次,Ⅲ～Ⅳ,さいたま市緑区中尾,35.87361111,139.6780556,1
