ID,都道府県,JPRAID,遺跡群名,遺跡名,地点地区名,文化層石器文化,所在地,Latitude,Longitude,時期区分
2122,東京都,131322,,武蔵国分寺跡,第135次調査区,表土,東京都国分寺市東元町3-20-411,35.69138889,139.4688889,2
2128,東京都,131328,,武蔵国分寺跡,第252次調査区,縄文包含層,東京都国分寺市西元町2-2548-64,35.69361111,139.4680556,2
2129,東京都,131329,,武蔵国分寺跡,第357次調査区,,東京都国分寺市西元町2,35.69166667,139.4691667,2
2205,東京都,131405,,国分寺No.56遺跡,,,東京都国分寺市光町1,35.70166667,139.4491667,2
2208,東京都,131408,,多摩湖第12遺跡,,,東京都東大和市村山貯水池内,35.76444444,139.4216667,2
2209,東京都,131409,,吉祥山遺跡,第2次調査B地区,縄文遺構覆土,東京都武蔵村山市本町4,35.75916667,139.3883333,2
2210,東京都,131410,,吉祥山遺跡,第2次調査D地区,縄文包含層・遺構覆土・かく乱,東京都武蔵村山市本町4,35.75777778,139.3888889,2
2211,東京都,131411,,吉祥山遺跡,第2次調査D地区,ローム漸移層～ソフトローム層,東京都武蔵村山市本町4,35.75777778,139.3888889,2
2219,東京都,131419,,御殿山遺跡,第2地区H地点,,東京都武蔵野市御殿山1-7-7,35.70166667,139.5752778,2
2226,東京都,131426,,吉祥寺南町一丁目遺跡,A地点,ソフトローム・並行層,東京都武蔵野市吉祥寺南町1-21,35.69861111,139.5816667,2
2257,東京都,131457,,吉祥寺南町一丁目遺跡,Ｑ地点,Ⅲ層下部～Ⅳ層,東京都武蔵野市吉祥寺南町1-32-23,35.69916667,139.5822222,2
2279,東京都,131479,,下里本邑遺跡,第2地点,Ⅳ層,東京都東久留米市野火止3-20,35.76194444,139.5086111,2
2295,東京都,131495,,自由学園北遺跡,,,東京都東久留米市学園町1-4・8,35.75472222,139.5375,2
2296,東京都,131496,,東久留米市No.16遺跡,,,東京都東久留米市本町4-5・7,35.75722222,139.53,2
2308,東京都,131508,,東久留米市No.34遺跡,,,東京都東久留米市幸町3・4,35.75861111,139.5183333,2
2319,東京都,131519,,新橋遺跡,,縄文包含層,東京都東久留米市新川町2-16-4・10,35.76305556,139.5377778,2
2343,東京都,131543,,小川町一丁目遺跡,,,東京都小平市小川1,35.73,139.4577778,2
2391,東京都,131591,,鈴木遺跡,範囲確認1987年度2Gr.,Ⅲ層,東京都小平市鈴木町1,35.71861111,139.4961111,2
2414,東京都,131614,,鈴木遺跡,福祉関連施設地点,Ⅲ層,東京都小平市鈴木町1-472,35.72,139.4972222,2
2417,東京都,131617,,鈴木遺跡,範囲確認1990年度第1地点,Ⅱ層,東京都小平市回田町,35.71555556,139.4980556,2
2433,東京都,131633,,福生市No.9遺跡,,,東京都福生市福生,35.74138889,139.3372222,2
2434,東京都,131634,宇津木台遺跡群,,D地区,第1文化層,東京都八王子市小宮町・平町・石川町・宇津木町,35.68805556,139.3611111,2
2441,東京都,131641,,北八王子西野遺跡,,,東京都八王子市石川町,35.67611111,139.3583333,2
2442,東京都,131642,,船田遺跡,第Ⅲ次調査区,（縄文時代包含層）,東京都八王子市長房町588ほか,35.655,139.2955556,2
2447,東京都,131647,南八王子地区遺跡群,大原D遺跡,,,東京都八王子市小比企町・片倉町,35.63638889,139.3258333,2
2458,東京都,131658,,館町遺跡,第7地点,ローム層,東京都八王子市館町,35.63083333,139.3016667,2
2459,東京都,131659,,館町遺跡,第7地点,縄文包含層,東京都八王子市館町,35.63083333,139.3016667,2
2463,東京都,131663,,石川天野遺跡,D地区,,東京都八王子市石川町・大谷町,35.67361111,139.3555556,2
2465,東京都,131665,南八王子地区遺跡群,No.10遺跡,,,東京都八王子市片倉,35.63722222,139.3358333,2
2466,東京都,131666,南八王子地区遺跡群,No.13遺跡,,,東京都八王子市片倉町,35.63388889,139.3252778,2
2469,東京都,131669,南八王子地区遺跡群,No.38遺跡,,,東京都八王子市宇津貫町1851番地他,35.62,139.3269444,2
2471,東京都,131671,,武蔵岡遺跡,A地区,,東京都町田市相原町武蔵岡,35.60694444,139.3008333,2
2472,東京都,131672,,田中谷戸遺跡,,,東京都町田市上小山田町字16号2147～1他,35.59833333,139.3869444,2
2475,東京都,131675,,野津田上の原遺跡,,,東京都町田市野津田町・小野路町,35.59305556,139.4447222,2
2479,東京都,131679,,鶴川遺跡群P地点遺跡,,ローム層中,東京都町田市鶴川6,35.59194444,139.4725,2
2485,東京都,131685,,木曽森野遺跡,F区,L1S～B0上層,東京都町田市木曽町・森野4,35.55416667,139.4319444,2
2487,東京都,131687,,木曽森野遺跡,D区,L1S上層,東京都町田市木曽町・森野4,35.55472222,139.4305556,2
2488,東京都,131688,,木曽森野遺跡,Ⅱ区,L1S～B0,東京都町田市木曽町・森野4,35.55611111,139.4277778,2
2491,東京都,131691,,木曽森野遺跡,L区,試掘坑外,東京都町田市木曽町・森野4,35.55583333,139.4313889,2
2492,東京都,131692,,木曽森野遺跡,G区,,東京都町田市木曽町・森野4,35.55805556,139.4305556,2
2494,東京都,131694,,南大谷遺跡,,,東京都町田市南大谷,35.5575,139.4563889,2
2501,東京都,131701,,法政大学多摩校地遺跡群遺跡,B-3地点,,東京都町田市相原町4342番地,35.61388889,139.2944444,2
2506,東京都,131706,,相原坂下遺跡,,Ⅳ層（ローム漸移層）,東京都町田市相原町字坂下384‐5番地ほか,35.60472222,139.3433333,2
2507,東京都,131707,,木曽中学校遺跡,,,東京都町田市木曽町字8号2326‐3,35.56861111,139.4130556,2
2509,東京都,131709,,忠生遺跡,A1地点,B0,東京都町田市木曽町2276,35.56972222,139.4155556,2
2527,東京都,131727,,南平遺跡,,？,東京都日野市程久保7,35.65166667,139.3997222,2
2529,東京都,131729,,日野市No.51遺跡,多摩平団地H区,（ソフトローム下部～ハードローム上部）,東京都日野市多摩平6,35.66888889,139.3841667,2
2533,東京都,131733,和田・百草遺跡群,,多摩都市計画道路1・3・1号線地区,,東京都多摩市和田92-1,35.64416667,139.4330556,2
2549,東京都,131749,金井原遺跡群,,第6地点,,東京都町田市金井町字2号1515番地・他,35.5775,139.4641667,2
