"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13225014000,13225,"140","","稲城市№140遺跡","稲城市 平尾",139.482289,35.61491769,0,0,0,0,1,1,0,0,0
13225014100,13225,"141","","稲城市№141遺跡","稲城市 平尾",139.483208,35.61307989,0,0,0,0,1,1,0,0,0
13225014200,13225,"142","","稲城市№142遺跡","稲城市 平尾",139.4829161,35.61201372,0,1,0,0,0,0,0,0,0
13225014300,13225,"143","","稲城市№143遺跡","稲城市 平尾",139.477432,35.61426187,0,1,0,0,0,0,0,0,0
13225014400,13225,"144","","稲城市№144遺跡","稲城市 平尾",139.4772432,35.61324312,0,1,0,0,0,0,0,0,0
13225014500,13225,"145","","稲城市№145遺跡","稲城市 平尾",139.484826,35.61176926,0,1,0,0,0,0,0,0,0
13225014600,13225,"146","","稲城市№146遺跡","稲城市 平尾",139.4860963,35.61241122,0,1,0,0,0,0,0,0,0
13225014700,13225,"147","","稲城市№147遺跡","稲城市 坂浜",139.4833447,35.61659578,0,1,0,0,1,1,0,0,0
13225014800,13225,"148","","稲城市№148遺跡","稲城市 坂浜",139.4840133,35.61939782,0,1,0,0,0,0,1,0,0
13225014900,13225,"149","","稲城市№149遺跡","稲城市 坂浜",139.4858103,35.61840915,0,1,0,0,1,1,0,0,0
13225015000,13225,"150","","稲城市№150遺跡","稲城市 坂浜",139.4866762,35.61911892,0,1,0,0,0,0,0,0,0
13225015100,13225,"151","","稲城市№151遺跡","稲城市 坂浜",139.4876547,35.61678849,0,1,0,0,1,1,0,0,0
13225015200,13225,"152","","稲城市№152遺跡","稲城市 坂浜",139.4905558,35.61870029,0,1,0,0,0,0,0,0,0
13225015300,13225,"153","","稲城市№153遺跡","稲城市 坂浜",139.489234,35.61739204,0,1,0,0,0,0,0,0,0
13225015400,13225,"154","","稲城市№154遺跡","稲城市 坂浜",139.4865376,35.62304269,0,1,0,0,0,0,0,0,0
13225015500,13225,"155","","稲城市№155遺跡","稲城市 坂浜",139.4895272,35.62362683,0,0,0,0,0,0,0,0,1
13225015600,13225,"156","","稲城市№156遺跡","稲城市 坂浜",139.4890032,35.62421405,0,1,0,0,0,0,0,0,0
13225015700,13225,"157","","稲城市№157遺跡","稲城市 坂浜",139.490737,35.62361404,0,1,0,0,0,0,0,0,0
13225015800,13225,"158","","稲城市№158遺跡","稲城市 坂浜",139.4919901,35.62319543,0,1,0,0,1,1,0,0,0
13225015900,13225,"159","","稲城市№159遺跡","稲城市 矢野口",139.5081045,35.62961871,1,1,0,0,1,0,0,0,0
13225016000,13225,"160","","稲城市№160遺跡","稲城市 東長沼",139.5062849,35.62995357,0,1,0,0,1,0,0,0,0
13225016100,13225,"161","","稲城市№161遺跡","稲城市 東長沼",139.503298,35.62827925,0,1,0,0,0,0,0,0,0
